country,total_cases_by_1m,deaths_by_1m,tests_by_1m,health_index,stringency_index
Spain,16003,672,272117,82,85.19
Luxembourg,13328,197,1302265,81,79.63
Moldova,12698,323,68645,69,87.04
Belgium,9942,861,272178,80,81.48
Sweden,8989,581,151525,81,46.3
France,8309,487,164025,81,87.96
Belarus,8250,87,194234,72,19.44
BosniaandHerzegovina,8243,253,71121,70,92.59
Russia,7945,140,311066,68,85.19
Iceland,7791,29,804135,82,53.7
Portugal,7265,192,250565,79,87.96
Ireland,7145,364,233290,80,90.74
Netherlands,6681,372,130687,82,79.63
UK,6459,618,353324,80,79.63
Romania,6454,247,123524,73,87.04
Czechia,6149,58,124686,79,74.07
Switzerland,6072,238,155610,84,89.81
Italy,5152,593,184286,81,87.96
Austria,4816,88,174076,82,85.19
Ukraine,4693,93,50987,64,88.89
Denmark,4670,112,648565,82,72.22
Albania,4654,132,28494,73,84.26
Croatia,3963,66,72213,75,96.3
Serbia,3828,86,128356,72,100
Germany,3442,114,186555,82,76.85
Bulgaria,2923,116,74923,74,71.3
Hungary,2648,78,72974,75,76.85
Slovenia,2592,72,105687,79,89.81
Norway,2538,50,190491,83,79.63
Estonia,2462,48,156598,75,77.78
Poland,2343,65,86368,77,83.33
Finland,1758,62,176063,79,60.19
Slovakia,1711,8,82036,77,87.04
Greece,1701,37,123406,79,84.26
Lithuania,1655,34,280763,70,87.04
Latvia,902,19,165997,71,65.74